"STATION","NAME","DATE","AWND","PRCP","TAVG","TMAX","TMIN"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2012-10-03","16.33","0.00",,"66","46"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2012-10-04","14.54","0.00",,"66","47"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2012-10-05","12.75","0.00",,"71","48"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2012-10-06","11.41","0.00",,"75","46"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2012-10-07","2.91","0.00",,"75","46"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2012-10-08","4.25","0.00",,"70","46"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2012-10-09","3.58","0.00",,"61","48"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2012-10-10","3.13","0.00",,"54","47"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2012-10-11","2.91","0.00",,"57","45"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2012-10-12","10.29","0.08",,"57","48"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2012-10-13","8.72","0.19",,"60","54"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2012-10-14","7.61","0.65",,"64","56"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2012-10-15","10.29","0.31",,"63","52"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2012-10-16","12.30","0.00",,"61","47"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2012-10-17","3.58","0.00",,"58","43"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2012-10-18","4.47","0.82",,"64","44"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2012-10-19","11.86","0.19",,"59","49"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2012-10-20","12.75","0.02",,"52","43"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2012-10-21","6.04","0.25",,"53","40"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2012-10-22","5.82","0.35",,"46","38"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2012-10-23","6.71","0.00",,"52","42"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2012-10-24","4.70","0.28",,"53","43"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2012-10-25","3.36","0.00",,"53","44"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2012-10-26","5.59","0.06",,"52","45"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2012-10-27","11.41","0.91",,"58","49"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2012-10-28","8.50","0.24",,"58","50"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2012-10-29","10.96","0.43",,"60","50"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2012-10-30","6.26","1.36",,"59","54"
